"species","taxon_group","body_mass_kg","metabolic_rate_W"
"Psaltriparus minimus","Aves",0.0055,0.121
"Amazona viridigenalis","Aves",0.3419,2.01333333333333
"Anas crecca","Aves",0.25,1.66666666666667
"Anas querquedula","Aves",0.289,2.23333333333333
"Aythya nyroca","Aves",0.44,3.27222222222222
"Anas penelope","Aves",0.539,3.13611111111111
"Anas clypeata","Aves",0.554,3.87777777777778
"Aythya fuligula","Aves",0.571,2.70277777777778
"Anas acuta","Aves",0.721,4.36388888888889
"Anas strepera","Aves",0.791,6.20277777777778
"Aythya ferina","Aves",0.816,5.81666666666667
"Anas plathyrhynchos","Aves",1.236,7.57777777777778
"Netta rufina","Aves",1.237,7.1
"Loriculus galgulus","Aves",0.027,0.516666666666667
"Melopsittacus undulatus","Aves",0.039,0.622222222222222
"Neophema pulchella","Aves",0.04,0.580555555555555
"Neophema bourkii","Aves",0.04,0.538888888888889
"Cuculus canorus","Aves",0.128,1.25555555555556
"Centropus senegalensis","Aves",0.175,1.50833333333333
"Eudynamys scolopacea","Aves",0.188,1.64444444444444
"Fulica atra","Aves",0.754,4.36388888888889
"Tringa ochropus","Aves",0.09,0.922222222222222
"Buteo buteo","Aves",1.012,3.75555555555556
"Coturnix chinensis","Aves",0.049,0.627777777777778
"Coturnix japonica","Aves",0.115,0.977777777777778
"Upupa epops","Aves",0.067,0.552777777777778
"Malurus cyaneus","Aves",0.0087,0.176666666666667
"Malurus lamberti","Aves",0.0078,0.183333333333333
"Acanthagenys rufogularis","Aves",0.0434,0.633333333333333
"Manorina flavigula","Aves",0.0411,0.61
"Meliphaga lewinii","Aves",0.0362,0.533333333333333
"Lichenostomus virescens","Aves",0.0207,0.353333333333333
"Acanthorhynchus tenuirostris","Aves",0.0113,0.276666666666667
"Pardalotus punctatus","Aves",0.0078,0.22
"Sericornis citreogularis","Aves",0.0169,0.363333333333333
"Sericornis frontalis","Aves",0.0132,0.32
"Sericornis magnirostris","Aves",0.0087,0.203333333333333
"Smicrornis brevirostris","Aves",0.0059,0.163333333333333
"Acanthiza pusilla","Aves",0.0064,0.223333333333333
"Acanthiza uropygialis","Aves",0.0066,0.176666666666667
"Acanthiza chrysorrhoa","Aves",0.0083,0.223333333333333
"Acanthiza lineata","Aves",0.0073,0.16
"Pomatostomus superciliosus","Aves",0.0361,0.343333333333333
"Pomatostomus ruficeps","Aves",0.0454,0.44
"Eopsaltria australis","Aves",0.0192,0.35
"Psophodes olivaceus","Aves",0.061,0.706666666666667
